Location,Crop,Region,Soil Type,Rainfall (mm),Temperature (°C),Drought Tolerance,Flood Resistance,Heat Resilience,Yield Under Stress (tons/ha)
Nagaland,Maize,North,Sandy,1422.17,16.1,0.85,0.46,0.32,1.44
Ladakh,Cotton,South,Clay,461.01,36.9,0.87,0.9,0.91,8.71
Goa,Rice,West,Clay,561.3,22.6,0.61,0.31,0.36,4.83
Tripura,Rice,Central,Loamy,1178.62,26.9,0.05,0.9,0.27,9.13
Tamil Nadu,Rice,North,Sandy,982.08,33.1,0.99,0.5,0.92,2.94
Jharkhand,Soybean,North,Sandy,279.47,36.7,0.02,0.28,0.9,3.45
Rajasthan,Cotton,Central,Loamy,348.31,19.7,0.24,0.36,0.47,7.33
Mizoram,Soybean,South,Sandy,690.14,20.7,0.27,0.06,0.41,2.89
Telangana,Rice,South,Peaty,805.81,20.7,0.95,0.16,0.7,1.94
Sikkim,Cotton,West,Clay,603.28,23.1,0.77,0.77,0.91,4.21
Andhra Pradesh,Cotton,North,Silt,1435.88,17.1,0.41,0.12,0.74,7.31
Sikkim,Maize,East,Loamy,570.72,20.4,0.97,0.02,0.06,4.31
Chhattisgarh,Wheat,North,Silt,1287.82,36.6,0.93,0.47,0.48,7.09
Karnataka,Maize,West,Loamy,681.29,36.9,0.07,0.85,0.31,9.34
Meghalaya,Maize,Central,Sandy,465.41,27.1,0.83,0.66,0.55,8.39
Ladakh,Cotton,West,Peaty,846.64,39.4,0.19,0.74,0.39,5.34
West Bengal,Soybean,North,Silt,729.37,27.6,0.69,0.97,0.61,4.56
Rajasthan,Maize,East,Sandy,323.34,39.6,0.29,0.46,0.23,6.99
Madhya Pradesh,Maize,Central,Clay,656.31,22.8,0.42,0.21,0.81,3.21
Rajasthan,Wheat,North,Peaty,1339.26,33.2,0.46,0.25,0.73,7.51
Meghalaya,Maize,West,Sandy,1003.25,37.0,0.97,0.33,0.04,3.69
Tripura,Maize,South,Peaty,1176.91,17.2,0.46,0.6,1.0,1.01
Arunachal Pradesh,Maize,West,Peaty,524.79,27.8,0.5,0.15,0.21,2.99
Jharkhand,Cotton,West,Clay,650.55,39.6,0.0,0.74,0.59,2.5
Punjab,Maize,South,Sandy,296.06,30.0,0.95,0.06,0.65,2.36
Tripura,Maize,North,Silt,1024.86,36.5,0.04,0.57,0.65,3.7
Madhya Pradesh,Cotton,East,Loamy,1284.26,18.7,0.2,0.03,0.48,8.19
West Bengal,Cotton,East,Loamy,235.1,25.4,0.02,0.81,0.39,8.13
Assam,Soybean,South,Silt,1299.18,36.9,0.78,0.13,0.17,6.03
Uttar Pradesh,Rice,South,Sandy,1397.57,33.0,0.73,0.5,0.83,4.13
Tripura,Cotton,North,Peaty,1474.81,35.1,0.68,0.86,0.82,5.97
Rajasthan,Wheat,North,Peaty,916.53,17.6,0.46,0.74,0.23,2.34
Ladakh,Wheat,North,Loamy,661.12,19.7,0.23,0.79,0.32,5.38
Telangana,Maize,North,Sandy,1061.73,36.1,0.4,0.29,0.37,1.58
Telangana,Soybean,West,Silt,1173.85,15.7,0.77,0.08,0.64,2.39
Maharashtra,Rice,North,Loamy,1056.35,22.5,0.1,0.99,0.25,4.56
Sikkim,Soybean,West,Peaty,682.31,35.6,0.2,0.35,0.16,2.32
Gujarat,Rice,South,Silt,712.54,23.2,0.43,0.67,0.64,5.78
West Bengal,Rice,South,Clay,492.55,35.5,0.2,0.17,0.74,9.4
Madhya Pradesh,Rice,North,Loamy,525.42,35.8,0.93,0.31,0.1,9.12
Assam,Cotton,South,Loamy,1001.89,16.3,0.03,0.97,0.6,9.36
Karnataka,Maize,East,Peaty,1242.27,16.8,0.92,0.38,0.7,6.11
Delhi,Maize,West,Peaty,796.7,22.1,0.45,0.39,0.87,9.75
Delhi,Cotton,North,Clay,1112.1,35.8,0.88,0.6,0.65,6.77
Nagaland,Soybean,Central,Silt,1340.64,16.2,0.93,0.15,0.08,2.09
Jharkhand,Cotton,North,Sandy,427.02,28.9,0.22,0.27,0.91,4.85
Ladakh,Rice,West,Peaty,1389.09,38.1,1.0,0.56,0.35,7.99
Mizoram,Cotton,South,Silt,384.77,19.7,0.8,0.21,0.54,1.93
Sikkim,Maize,South,Loamy,1196.23,16.0,0.85,0.14,0.76,9.18
Tamil Nadu,Wheat,East,Clay,498.08,27.2,0.76,0.85,0.33,6.24
Karnataka,Cotton,West,Sandy,759.6,29.5,0.27,0.71,0.07,5.01
Jharkhand,Wheat,East,Clay,824.4,19.0,0.87,0.02,0.51,8.03
Sikkim,Wheat,South,Clay,548.33,31.6,0.72,0.77,0.98,8.45
Karnataka,Wheat,South,Loamy,449.36,30.5,0.98,0.1,0.01,8.37
Kerala,Maize,West,Clay,388.47,22.5,0.7,0.62,0.48,1.69
Nagaland,Wheat,West,Loamy,1156.27,16.2,0.73,0.84,0.42,3.03
Maharashtra,Rice,Central,Clay,949.85,33.2,0.65,0.36,0.91,6.1
Manipur,Soybean,South,Silt,1081.47,26.0,0.34,0.18,0.48,7.92
Jharkhand,Rice,East,Clay,476.98,32.9,0.12,0.82,0.46,5.98
Punjab,Maize,West,Clay,663.0,23.8,0.65,0.56,0.33,9.75
Maharashtra,Cotton,West,Sandy,1146.27,22.7,0.17,0.84,0.49,2.45
Bihar,Maize,West,Sandy,634.3,35.0,0.15,0.8,0.56,1.62
Rajasthan,Maize,East,Sandy,1256.11,25.6,0.4,0.0,0.47,3.27
Rajasthan,Cotton,West,Loamy,526.7,33.1,0.86,0.97,0.1,5.48
Madhya Pradesh,Cotton,West,Clay,943.02,38.6,0.47,0.84,0.66,7.38
Karnataka,Soybean,Central,Sandy,813.29,19.6,0.53,0.34,0.41,9.35
Bihar,Cotton,West,Peaty,1436.49,29.3,0.01,0.5,0.52,6.85
Meghalaya,Cotton,North,Silt,1440.24,37.8,0.55,0.68,0.2,7.24
Assam,Maize,North,Peaty,1001.44,32.6,0.91,0.06,0.63,1.91
Mizoram,Rice,South,Loamy,1087.08,33.5,0.2,0.69,0.24,1.91
Tripura,Wheat,South,Silt,1171.05,32.2,0.47,0.62,0.72,9.49
Delhi,Cotton,West,Silt,1420.82,15.8,0.29,0.5,0.2,2.1
Rajasthan,Cotton,East,Sandy,1203.28,28.8,0.48,0.87,0.71,5.3
Assam,Wheat,East,Silt,1069.23,34.6,0.8,0.51,0.5,7.66
Nagaland,Wheat,North,Sandy,933.77,32.4,0.31,0.44,0.07,9.14
Delhi,Soybean,West,Peaty,345.72,38.3,0.04,0.64,0.88,4.86
Delhi,Maize,North,Silt,551.76,24.3,0.6,0.65,0.77,4.63
Haryana,Rice,North,Silt,983.77,38.0,0.79,0.94,1.0,7.66
West Bengal,Cotton,North,Peaty,204.98,21.3,0.11,0.77,0.21,5.43
Andhra Pradesh,Cotton,Central,Sandy,389.76,32.8,0.62,0.56,0.61,9.41
Goa,Cotton,North,Clay,280.37,29.8,0.99,0.54,0.4,9.78
Meghalaya,Cotton,East,Silt,978.38,21.7,0.32,0.1,0.29,8.05
Assam,Rice,Central,Silt,232.23,29.8,0.49,0.53,0.51,6.42
Madhya Pradesh,Rice,East,Clay,1374.63,15.6,0.41,0.35,0.27,6.55
Mizoram,Soybean,Central,Loamy,952.96,22.3,0.12,0.93,0.43,3.91
Tripura,Wheat,Central,Peaty,603.16,38.8,0.62,0.11,0.91,4.91
Ladakh,Soybean,South,Silt,807.53,16.4,0.15,0.95,0.47,1.66
Himachal Pradesh,Soybean,East,Clay,1327.57,28.4,0.04,0.88,0.8,3.67
Himachal Pradesh,Maize,East,Loamy,1179.8,16.7,0.26,0.13,0.23,1.65
Karnataka,Soybean,South,Peaty,1452.68,16.4,0.6,0.27,0.3,8.51
Haryana,Wheat,North,Loamy,920.25,32.8,0.14,0.59,0.62,3.17
Ladakh,Soybean,West,Silt,1374.21,38.2,1.0,0.7,0.97,8.91
West Bengal,Soybean,North,Peaty,863.39,15.4,0.53,0.6,0.14,2.84
Meghalaya,Cotton,East,Loamy,1474.36,19.8,1.0,0.33,0.05,7.76
Madhya Pradesh,Cotton,West,Peaty,679.8,27.6,0.39,0.37,0.12,3.46
West Bengal,Soybean,South,Clay,284.3,37.5,0.85,0.64,0.15,1.96
Kerala,Cotton,East,Silt,226.85,19.7,0.19,0.75,0.04,8.6
Uttarakhand,Wheat,West,Clay,476.39,15.8,0.56,0.83,0.26,4.44
Goa,Soybean,North,Clay,410.03,22.3,0.34,0.86,0.72,9.1
Maharashtra,Maize,East,Clay,946.04,20.6,0.15,0.92,0.83,5.46
Himachal Pradesh,Rice,South,Peaty,517.72,36.9,0.01,0.22,0.2,8.31
Manipur,Maize,East,Peaty,965.64,28.4,0.32,0.38,0.95,3.44
Delhi,Soybean,West,Loamy,552.53,33.2,0.83,0.78,0.2,7.0
Bihar,Soybean,Central,Silt,754.94,40.0,0.52,0.58,0.62,5.17
Chhattisgarh,Soybean,East,Peaty,525.37,32.2,0.46,0.16,0.86,2.09
Madhya Pradesh,Cotton,Central,Sandy,660.07,23.0,0.3,0.25,0.77,3.32
Sikkim,Rice,South,Sandy,651.17,32.7,0.76,0.72,0.51,3.03
Haryana,Wheat,Central,Loamy,856.51,27.9,0.63,0.48,0.11,9.74
Madhya Pradesh,Maize,West,Silt,1030.55,22.4,0.35,0.53,0.8,8.86
Tamil Nadu,Rice,Central,Clay,1082.25,16.8,0.17,0.28,0.32,2.68
Meghalaya,Maize,South,Silt,1172.71,38.2,0.93,0.53,0.99,3.33
Nagaland,Soybean,East,Peaty,1132.34,38.7,0.64,0.09,0.26,6.87
Ladakh,Rice,Central,Sandy,261.14,16.5,0.93,0.47,0.31,2.69
Kerala,Soybean,North,Peaty,1000.6,20.1,0.78,0.08,0.57,7.24
West Bengal,Soybean,West,Peaty,1297.64,19.9,0.68,0.11,0.3,6.11
Karnataka,Soybean,West,Sandy,313.04,38.5,0.52,0.23,0.74,4.0
Mizoram,Wheat,Central,Silt,845.29,38.4,0.26,1.0,0.97,5.93
Uttarakhand,Soybean,North,Loamy,1070.19,19.2,0.04,0.21,0.5,8.36
Gujarat,Cotton,South,Peaty,461.8,25.5,0.38,0.94,0.46,8.67
Uttar Pradesh,Soybean,East,Clay,1305.16,21.8,0.5,0.02,0.47,7.52
Bihar,Wheat,North,Sandy,1321.03,35.7,0.23,0.6,0.96,2.26
Arunachal Pradesh,Rice,Central,Clay,690.49,32.9,0.59,0.7,0.01,1.96
Haryana,Wheat,East,Clay,1001.31,20.5,0.62,0.11,0.71,4.46
Sikkim,Wheat,East,Loamy,1461.25,25.0,0.54,0.05,0.08,5.95
Gujarat,Rice,South,Clay,736.43,37.4,0.77,0.6,0.53,7.09
Andhra Pradesh,Cotton,East,Silt,1131.27,16.1,0.33,0.5,0.61,2.14
Gujarat,Cotton,South,Silt,960.69,23.6,0.45,0.23,0.28,8.91
West Bengal,Maize,South,Loamy,437.02,32.5,0.11,0.29,0.06,8.57
Nagaland,Wheat,East,Loamy,484.49,15.2,0.02,0.39,0.8,4.98
Manipur,Wheat,East,Loamy,1416.84,39.5,0.05,0.42,0.72,5.06
Jharkhand,Rice,West,Clay,563.04,16.4,0.61,0.58,0.68,5.8
Madhya Pradesh,Cotton,North,Clay,768.52,30.3,0.37,0.59,0.56,4.71
Tamil Nadu,Wheat,West,Clay,715.55,29.1,0.41,0.35,0.05,1.3
Kerala,Cotton,East,Loamy,845.0,35.4,0.29,0.65,0.88,9.62
Nagaland,Rice,East,Loamy,468.23,34.0,0.09,0.69,0.93,6.48
Kerala,Soybean,Central,Loamy,262.44,18.6,0.98,0.26,0.75,8.31
Karnataka,Maize,West,Silt,724.34,38.9,0.57,0.32,0.81,2.44
Haryana,Wheat,West,Loamy,1453.54,17.0,0.37,0.12,0.74,9.56
Punjab,Rice,Central,Loamy,1089.61,36.1,0.04,0.26,0.83,7.61
Andhra Pradesh,Rice,North,Silt,452.31,36.5,0.28,0.32,0.89,4.83
Goa,Wheat,East,Peaty,1248.57,35.2,0.79,0.53,0.45,9.34
Rajasthan,Cotton,East,Loamy,1041.09,19.1,0.28,0.23,0.72,2.66
Punjab,Wheat,East,Clay,1481.7,29.9,0.07,0.63,0.18,8.64
Karnataka,Soybean,South,Peaty,1251.97,28.6,0.06,0.09,0.93,7.07
Nagaland,Soybean,East,Loamy,220.04,31.6,0.32,0.31,0.96,1.09
Karnataka,Wheat,West,Sandy,226.78,22.4,0.65,0.98,0.62,4.02
Meghalaya,Maize,South,Sandy,658.52,28.1,0.96,0.1,0.08,1.63
Tamil Nadu,Wheat,North,Silt,1381.85,19.6,0.55,0.68,0.05,3.04
Uttar Pradesh,Soybean,East,Loamy,276.23,31.5,0.93,0.72,0.84,6.63
Uttarakhand,Cotton,East,Silt,305.66,34.9,0.79,0.57,0.76,6.53
Chhattisgarh,Soybean,East,Silt,1191.23,29.3,0.48,0.32,0.62,1.18
Chhattisgarh,Wheat,Central,Silt,495.37,18.6,0.71,0.06,0.58,2.79
Uttarakhand,Soybean,North,Peaty,814.49,25.2,0.1,0.31,0.47,4.33
Nagaland,Rice,South,Sandy,1237.59,27.4,0.66,0.37,0.45,1.26
Telangana,Wheat,North,Loamy,737.64,33.4,0.04,0.36,0.47,5.48
Rajasthan,Soybean,South,Loamy,343.13,23.7,0.39,0.16,0.73,7.92
Telangana,Wheat,North,Loamy,1297.1,26.1,0.07,0.47,0.15,7.21
Madhya Pradesh,Rice,East,Silt,506.39,25.7,0.23,0.95,0.77,3.01
Himachal Pradesh,Rice,Central,Clay,935.85,21.3,0.91,0.2,0.25,4.39
Telangana,Soybean,South,Clay,760.52,39.1,0.77,0.72,0.82,7.87
Gujarat,Maize,South,Loamy,261.74,20.3,0.24,0.81,0.31,1.14
Rajasthan,Maize,Central,Peaty,808.3,28.8,0.78,0.31,0.04,2.08
Ladakh,Maize,Central,Peaty,1249.92,21.7,0.21,0.29,0.47,9.08
Arunachal Pradesh,Maize,West,Loamy,365.62,16.8,0.08,0.5,0.55,9.02
Jharkhand,Rice,North,Silt,523.57,16.2,0.38,0.69,0.52,1.4
Himachal Pradesh,Maize,South,Loamy,1152.51,30.6,0.07,0.65,0.15,3.27
Ladakh,Wheat,North,Loamy,904.73,15.4,0.26,0.89,0.69,2.05
Meghalaya,Soybean,West,Peaty,713.88,26.2,0.93,0.04,0.85,1.35
Uttar Pradesh,Soybean,West,Clay,1266.5,39.9,0.26,0.36,0.47,6.47
Meghalaya,Cotton,North,Sandy,230.54,35.2,0.17,0.69,0.53,8.54
Meghalaya,Wheat,West,Loamy,1075.51,33.1,0.73,0.9,0.72,4.28
Uttarakhand,Rice,South,Peaty,1437.82,20.8,0.76,0.51,0.57,5.24
Jammu and Kashmir,Rice,South,Peaty,525.19,26.8,0.57,0.43,0.04,1.0
Nagaland,Soybean,Central,Sandy,1442.7,35.1,0.78,0.63,0.03,1.34
Manipur,Cotton,North,Peaty,760.71,36.0,0.4,0.8,0.91,2.65
Andhra Pradesh,Rice,West,Silt,1451.93,35.9,0.61,0.33,0.66,4.22
West Bengal,Cotton,South,Sandy,297.28,15.0,0.33,0.44,0.15,7.14
Odisha,Maize,South,Sandy,1279.93,18.5,0.21,0.15,0.15,1.72
Goa,Maize,West,Silt,1162.14,21.7,0.24,0.18,0.0,2.18
Maharashtra,Soybean,South,Loamy,592.11,33.4,0.76,0.06,0.64,2.24
Uttar Pradesh,Soybean,Central,Loamy,384.37,26.7,0.02,0.25,0.06,8.92
Jammu and Kashmir,Wheat,East,Sandy,1412.24,25.8,0.26,0.58,0.02,5.5
Tripura,Wheat,East,Silt,637.18,37.2,0.91,0.95,0.8,7.67
Gujarat,Maize,East,Peaty,917.04,35.8,0.54,0.75,0.8,7.37
Himachal Pradesh,Wheat,Central,Loamy,1320.26,18.9,0.33,0.37,0.75,9.14
Manipur,Cotton,East,Loamy,788.06,32.5,0.18,0.21,0.3,5.69
Telangana,Cotton,South,Silt,968.75,34.2,0.81,0.72,0.62,2.33
Bihar,Rice,Central,Peaty,1192.14,38.9,0.27,0.12,0.48,9.67
Telangana,Wheat,South,Sandy,930.39,16.9,0.95,0.8,0.55,8.23
Punjab,Wheat,North,Loamy,1353.4,24.2,0.56,0.71,0.41,1.87
Haryana,Cotton,East,Loamy,871.97,16.7,0.37,0.77,0.2,9.23
Uttarakhand,Rice,South,Sandy,281.23,23.3,0.4,0.94,0.46,9.92
Tripura,Soybean,North,Sandy,1100.91,33.1,0.55,0.28,0.62,7.57
Tripura,Cotton,East,Peaty,331.98,31.0,0.11,0.96,0.23,5.21
Chhattisgarh,Wheat,East,Silt,1404.04,23.3,0.64,0.67,0.12,2.82
Jharkhand,Wheat,North,Silt,1359.74,19.2,0.3,0.54,0.63,1.97
Mizoram,Wheat,West,Clay,252.39,20.1,0.34,0.34,0.39,6.0
Tripura,Cotton,South,Silt,1192.3,25.9,0.17,0.74,0.22,6.35
Jharkhand,Wheat,North,Loamy,1348.72,35.0,0.36,0.7,0.4,4.47
Tripura,Wheat,South,Silt,369.82,20.1,0.75,0.2,0.3,1.14
Jammu and Kashmir,Rice,West,Sandy,1120.46,23.0,0.34,0.35,0.5,8.36
Rajasthan,Soybean,West,Peaty,919.93,28.0,0.94,0.12,0.31,5.52
Delhi,Rice,East,Silt,1060.82,34.4,0.62,0.78,0.06,5.73
Tripura,Wheat,West,Sandy,253.93,38.3,0.14,0.64,0.29,6.7
Delhi,Rice,West,Silt,1399.1,33.4,0.59,0.6,0.22,9.25
Madhya Pradesh,Wheat,South,Silt,660.65,39.1,0.22,0.43,0.56,3.67
Andhra Pradesh,Rice,East,Peaty,1407.35,32.5,0.25,0.79,0.63,1.72
Telangana,Rice,South,Loamy,1413.39,29.3,0.12,0.85,0.5,8.56
Punjab,Soybean,North,Sandy,1406.81,30.6,0.6,0.17,0.75,2.21
Odisha,Maize,Central,Loamy,857.48,16.6,0.2,0.12,0.72,9.76
Andhra Pradesh,Wheat,North,Clay,1311.36,36.3,0.85,0.52,0.21,2.0
Telangana,Soybean,West,Clay,1133.73,35.0,0.71,0.49,0.65,7.58
Punjab,Wheat,East,Loamy,1208.86,28.4,0.62,0.73,0.01,5.95
Himachal Pradesh,Maize,Central,Peaty,312.98,32.4,0.26,0.03,0.16,9.37
West Bengal,Maize,East,Peaty,483.58,30.0,0.13,0.84,0.63,1.22
Gujarat,Wheat,North,Silt,1399.04,16.2,0.43,0.33,0.96,3.52
Manipur,Cotton,East,Sandy,476.73,15.9,0.89,0.77,0.66,8.52
Assam,Wheat,South,Peaty,640.0,30.3,0.81,0.88,0.54,2.36
Gujarat,Rice,East,Clay,512.08,31.9,0.84,0.21,0.01,7.0
Tripura,Cotton,Central,Loamy,990.71,34.0,0.41,0.11,0.33,8.79
Odisha,Maize,East,Silt,642.3,28.2,0.37,0.54,0.82,5.27
Delhi,Maize,East,Loamy,866.56,16.5,0.58,0.89,0.3,3.07
Goa,Rice,Central,Silt,497.56,29.5,0.65,0.88,0.11,8.22
Maharashtra,Maize,West,Peaty,643.26,37.5,0.54,0.61,0.04,4.83
Delhi,Maize,Central,Clay,894.51,37.5,0.88,0.29,0.13,8.12
Arunachal Pradesh,Soybean,South,Loamy,1004.57,27.1,0.75,0.67,0.93,8.77
Gujarat,Cotton,West,Loamy,1149.12,15.5,0.74,0.16,0.1,1.78
Telangana,Cotton,West,Peaty,1452.52,18.2,0.08,0.22,0.02,9.58
West Bengal,Cotton,South,Loamy,1484.49,35.5,0.62,0.07,0.97,8.6
Telangana,Soybean,East,Silt,274.6,40.0,0.53,0.13,0.05,4.73
Kerala,Soybean,North,Clay,1248.12,32.6,0.33,0.22,0.42,8.01
Odisha,Maize,West,Silt,1423.57,32.6,0.04,0.18,0.61,9.54
Goa,Rice,Central,Clay,488.68,18.7,0.54,0.36,0.6,1.66
Ladakh,Soybean,Central,Loamy,697.47,30.9,0.39,0.71,0.76,7.47
Jammu and Kashmir,Rice,East,Sandy,1452.38,27.5,0.8,0.84,0.25,2.09
Himachal Pradesh,Soybean,South,Peaty,1378.65,19.9,0.41,0.43,0.4,2.68
Madhya Pradesh,Cotton,Central,Clay,774.82,16.7,0.51,0.69,0.92,7.18
Madhya Pradesh,Maize,South,Silt,1433.97,18.5,0.27,0.23,0.28,2.76
Uttarakhand,Rice,Central,Silt,615.94,16.5,0.28,0.97,0.73,6.23
Jharkhand,Cotton,Central,Loamy,1338.2,32.7,0.25,0.75,0.38,3.01
Assam,Cotton,South,Loamy,510.2,39.8,0.32,0.09,0.75,4.29
Jammu and Kashmir,Cotton,North,Silt,892.92,40.0,0.08,0.38,0.0,8.07
Andhra Pradesh,Soybean,South,Silt,1369.83,38.5,0.61,0.95,0.93,5.23
Delhi,Cotton,North,Loamy,537.07,33.7,0.77,0.88,0.93,1.07
Jammu and Kashmir,Wheat,North,Clay,341.79,35.2,0.87,0.46,0.52,5.63
Meghalaya,Maize,East,Sandy,1431.94,20.5,0.77,0.44,0.09,9.37
Gujarat,Maize,Central,Clay,1083.71,22.9,0.14,0.27,0.76,9.57
Maharashtra,Wheat,South,Sandy,590.07,32.7,0.22,0.71,0.57,6.56
Haryana,Cotton,East,Peaty,1388.59,16.5,0.51,0.8,0.04,2.21
Madhya Pradesh,Rice,East,Peaty,425.96,28.8,0.39,0.32,0.16,2.79
Delhi,Cotton,North,Clay,771.62,31.8,0.24,0.43,0.86,3.18
Haryana,Cotton,East,Loamy,1125.22,20.1,0.55,0.22,0.26,4.6
Haryana,Rice,Central,Sandy,955.82,32.6,0.79,0.64,0.34,7.2
Tamil Nadu,Cotton,East,Silt,608.73,20.0,0.03,0.78,0.63,3.39
Chhattisgarh,Wheat,West,Clay,1001.43,29.1,0.44,0.57,0.07,5.01
Arunachal Pradesh,Soybean,West,Silt,900.38,16.3,0.44,0.18,0.25,4.55
Mizoram,Wheat,East,Sandy,497.96,32.9,0.42,0.71,0.91,9.77
Maharashtra,Wheat,Central,Silt,1240.16,20.3,0.09,0.07,0.78,5.79
Delhi,Cotton,East,Clay,465.85,24.8,0.02,0.88,0.38,6.29
Assam,Soybean,East,Silt,759.29,19.6,0.39,0.14,0.2,3.92
Andhra Pradesh,Maize,North,Peaty,1344.91,23.6,0.08,0.97,0.43,2.02
Jharkhand,Rice,North,Sandy,1073.11,35.1,0.43,0.05,0.49,5.97
West Bengal,Maize,East,Sandy,796.35,33.2,0.17,0.66,0.66,8.99
Gujarat,Cotton,West,Clay,1226.71,15.9,0.16,0.45,0.03,4.87
Jharkhand,Cotton,East,Loamy,836.05,26.2,0.68,0.32,0.64,4.15
Meghalaya,Wheat,North,Loamy,1159.2,24.1,0.83,0.05,0.21,8.35
Uttar Pradesh,Cotton,South,Silt,1185.39,37.8,0.09,0.62,0.29,3.27
West Bengal,Rice,South,Peaty,1367.13,18.2,0.96,0.42,0.82,9.54
Karnataka,Maize,West,Clay,551.56,15.3,0.02,0.49,0.06,9.2
Karnataka,Rice,West,Clay,1202.59,35.3,0.6,0.41,0.28,4.03
Uttar Pradesh,Rice,South,Clay,790.39,34.6,0.99,0.59,0.3,2.26
Nagaland,Soybean,Central,Clay,1372.65,26.7,0.72,0.45,0.98,2.3
Jammu and Kashmir,Rice,South,Sandy,427.52,30.8,0.65,0.92,0.15,5.33
Bihar,Maize,West,Silt,1034.36,25.0,0.39,0.0,0.42,3.6
Jammu and Kashmir,Cotton,South,Loamy,1456.21,19.2,0.08,0.73,0.23,4.43
Meghalaya,Wheat,East,Sandy,1394.92,23.7,0.5,0.68,0.09,2.35
Assam,Soybean,East,Sandy,464.73,28.1,0.37,0.5,0.14,6.71
Karnataka,Rice,Central,Sandy,758.52,39.4,0.0,0.64,0.5,4.43
Ladakh,Wheat,East,Loamy,1418.73,36.5,0.17,0.85,0.95,1.05
Sikkim,Wheat,South,Silt,966.84,30.1,0.78,0.56,0.63,7.91
Jammu and Kashmir,Maize,East,Loamy,950.1,24.9,0.64,0.46,0.75,3.71
Sikkim,Rice,West,Clay,1324.18,29.4,1.0,0.52,0.32,1.41
Nagaland,Rice,West,Loamy,795.46,16.5,0.27,0.38,0.08,3.39
Mizoram,Wheat,South,Silt,985.24,35.9,0.02,0.74,0.42,4.09
Mizoram,Soybean,Central,Peaty,1376.98,31.4,0.27,0.29,0.78,4.15
Manipur,Maize,East,Loamy,327.04,20.2,0.76,0.38,0.12,9.64
Ladakh,Rice,Central,Loamy,1107.06,35.2,0.97,0.22,0.72,6.79
Tripura,Soybean,East,Silt,1419.82,35.2,0.16,0.36,0.27,1.37
Haryana,Rice,West,Clay,743.32,22.5,0.9,0.26,0.42,2.5
Madhya Pradesh,Cotton,East,Silt,440.4,39.3,0.56,0.62,0.05,3.72
Odisha,Maize,East,Clay,853.48,29.5,0.95,0.05,0.13,7.4
Odisha,Rice,West,Silt,247.19,30.7,0.73,0.08,0.89,2.16
Telangana,Wheat,Central,Silt,1003.24,32.7,0.55,1.0,0.14,1.81
Delhi,Rice,North,Peaty,1133.78,38.9,0.45,0.28,0.13,4.95
Sikkim,Wheat,North,Clay,616.06,18.1,0.57,0.71,0.49,9.58
Andhra Pradesh,Rice,East,Silt,1250.88,27.9,0.26,0.79,0.25,3.95
Manipur,Maize,East,Peaty,415.52,32.7,0.99,0.91,0.36,7.6
Kerala,Rice,West,Sandy,1455.47,32.5,0.63,0.65,0.09,6.39
Odisha,Maize,South,Peaty,1085.39,35.1,0.54,0.62,0.68,1.12
Bihar,Wheat,North,Clay,646.11,25.9,0.18,0.59,0.55,1.46
Arunachal Pradesh,Wheat,South,Loamy,1151.09,33.8,0.93,0.88,0.1,7.8
Mizoram,Wheat,South,Clay,544.64,15.5,0.11,0.05,0.0,5.76
Manipur,Wheat,East,Clay,1046.73,29.5,0.88,0.44,0.04,7.45
Haryana,Soybean,West,Clay,814.65,17.9,0.69,0.44,0.59,5.03
Chhattisgarh,Maize,South,Silt,1253.04,38.6,0.56,0.13,0.8,3.49
Haryana,Wheat,South,Sandy,440.51,31.1,0.41,0.95,0.27,7.36
Madhya Pradesh,Maize,South,Sandy,451.81,21.2,0.09,0.51,0.74,1.94
Ladakh,Rice,West,Sandy,1371.22,18.7,0.47,0.43,0.02,8.34
Goa,Maize,Central,Sandy,1292.79,16.5,0.34,0.54,0.76,9.68
Himachal Pradesh,Wheat,Central,Sandy,1082.2,16.1,0.96,0.83,0.38,7.78
Delhi,Cotton,West,Loamy,801.16,31.1,0.15,0.52,0.51,8.01
Sikkim,Soybean,North,Loamy,1369.4,17.5,0.9,0.31,0.9,6.85
Chhattisgarh,Rice,Central,Peaty,905.18,20.0,0.33,0.04,0.59,7.65
Andhra Pradesh,Maize,East,Silt,211.8,27.2,0.57,0.11,0.11,5.53
Tamil Nadu,Wheat,Central,Clay,1471.03,38.3,0.57,0.64,0.3,1.23
Sikkim,Maize,East,Silt,751.08,28.5,0.17,0.85,0.72,8.14
Tripura,Rice,East,Peaty,1275.56,33.6,0.27,0.76,0.5,2.4
Delhi,Wheat,West,Sandy,1302.72,39.7,0.84,0.26,0.51,1.9
Andhra Pradesh,Soybean,South,Silt,436.05,36.0,0.45,0.16,0.05,8.86
Maharashtra,Rice,South,Silt,574.58,29.9,0.87,0.3,0.17,9.05
Madhya Pradesh,Wheat,Central,Loamy,494.75,19.5,0.29,0.05,0.16,2.07
Chhattisgarh,Rice,East,Silt,630.19,40.0,0.11,0.68,0.44,2.53
Uttarakhand,Maize,Central,Silt,366.77,22.2,0.5,0.97,0.69,4.95
Maharashtra,Cotton,South,Loamy,545.98,25.4,0.13,0.7,0.69,2.4
Karnataka,Cotton,South,Loamy,1042.02,25.6,0.37,0.1,0.5,1.2
Tripura,Soybean,East,Silt,1018.83,28.9,0.39,0.35,0.52,1.42
Meghalaya,Maize,East,Loamy,804.78,39.9,0.87,0.06,0.49,7.26
